kód okresu,kód KÚ,názov obce
703,858871,Strážky
703,991848,Sypková
703,863998,Toporec
703,866156,Tvarožná
703,867705,Veľká Franková
703,867837,Veľká Lomnica
703,869929,Vlková
703,869937,Vlkovce
703,870048,Vojňany
703,870447,Vrbov
703,870765,Výborná
703,872296,Zálesie v Zamagurí
703,873951,Žakovce
704,,okres LEVOčA
704,800627,Baldovce
704,802263,Beharovce
704,802930,Bijacovce
704,807028,Brutovce
704,807290,Buglovce
704,811149,Dlhé Stráže
704,811491,Doľany na Spiši
704,812625,Domaňovce
704,812803,Dravce
704,813435,Dúbrava na Spiši
704,815268,Granč-Petrovce
704,815764,Harakovce
704,821713,Jablonov
704,823660,Katúň
704,824127,Klčov
704,847879,Korytné
704,829927,Kurimany
704,831859,Levoča
704,834009,Lúčka pri Jablonove
704,839621,Nemešany
704,841030,Nižné Repaše
704,843709,Oľšavica
704,844225,Ordzovany
704,845680,Pavľany
704,847887,Poľanovce
704,848131,Pongrácovce
704,857645,Spišské Podhradie
704,857726,Spišský Hrhov
704,857777,Spišský Štvrtok
704,859290,Studenec
704,864021,Torysky
704,866466,Uloža
704,871435,Vyšné Repaše
704,871605,Vyšný Slavkov
704,872458,Závada pri Levoči
705,,okres MEDZILABORCE
705,803723,Borov
705,806234,Brestov nad Laborcom
705,808288,Čabalovce
705,808300,Čabiny
705,809349,Čertižné
705,815331,Habura
705,823031,Kalinov
705,828769,Krásny Brod
705,843661,Krivá Oľka
705,836621,Medzilaborce
705,839248,ňagov
705,843679,Nižná Oľka
705,851167,Nižná Radvaň
705,843741,Oľšinkov
705,845256,Palota
705,852015,Repejov
705,828785,Rokytovce
705,852775,Roškovce
705,859532,Sukov
705,859729,Svetlice
705,867276,Valentovce
705,870137,Volica
705,836630,Vydraň
705,870871,Výrava
705,872857,Zbojné
705,872946,Zbudská Belá
706,,okres POPRAD
706,802174,Batizovce
706,814652,Filice
706,814661,Gánovce
706,815098,Gerlachov pod Tatrami
706,818721,Hozelec
706,817040,Hôrka pri Poprade
706,819131,Hranovnica
706,822183,Jánovce pri Poprade
706,828807,Kravany
706,832537,Liptovská Teplička
706,833959,Lučivná
706,822191,Machalovce
706,836371,Matejovce
706,836702,Mengusovce
706,837784,Mlynica
706,840963,Nižná Šuňava
706,841820,Nová Lesná
706,848174,Poprad
706,848221,Spišská Sobota
706,857599,Spišská Teplica
706,857611,Spišské Bystré
706,857751,Spišský Štiavnik
706,858544,Starý Smokovec
706,848298,Stráže pod Tatrami
706,859923,Svit
706,836711,Štôla
706,861375,Štrba
706,861405,Štrbské Pleso
706,862371,Švábovce
706,874108,Tatranská Javorina
706,862568,Tatranská Lomnica
706,848417,Veľká
706,869163,Veľký Slavkov
706,869228,Vernár
706,869457,Vikartovce
706,870820,Vydrník
706,871354,Vyšná Šuňava
706,874132,Ždiar
707,,okres PREŠOV
707,800112,Abranovce
707,800325,Babin Potok
707,800554,Bajerov
707,802743,Bertotovce
707,806226,Brestov v Slanskýchvrchoch
707,806382,Bretejovce
707,806889,Brežany
707,807788,Bzenov
707,809187,Čelovce pri Chmeľove
707,809381,Červenica
707,810347,Demjata
707,812927,Drienov
707,812960,Drienovská Nová Ves
707,813591,Dulova Ves
707,814351,Fintice
707,814415,Fričovce
707,814423,Fulianka
707,815055,Geraltov
707,815284,Gregorovce
707,815705,Haniska
707,816051,Hendrichovce
707,816086,Hermanovce
707,818801,Hrabkov
707,818950,Hradisko pri Terni
707,831298,Chabžany
707,820709,Chmeľov
707,820733,Chmeľovec
707,820750,Chmiňany
707,820776,Chminianska Nová Ves
707,820784,Chminianske Jakubovany
707,822108,Janov
707,822205,Janovík
